dying  a.垂死的，临终的 
more  a.更多的 n.更多的人(或东西) ad.更，更多 
moral  a.道德上的 n.道德，伦理；寓意 [参]morale 
mooncake  n.月饼 
moon  n.(加the)月球，月亮；卫星 
monument  n.纪念物，纪念碑，纪念馆；遗迹 
month  n.月份；一个月的时间 
monsieur  n.先生(法语) 
monkey  n.猴子 v.乱弄；胡闹 
monitor  n.班长；监视(听)器 v.监视，监听；监控 
moneylender  *n.放债者 
money  n.货币，金钱，财富 
Monday  (名)星期一 
moment  n.片刻，瞬间，时刻；机会，时机 
modest  a.端庄的，朴素的；谦虚(逊)的；适度的 
modern  a.现代的，近代的；新式的，时新的 
model  n.模型，原型；模特儿；模范；样式 vt.模仿 
modal  模态的 
mobile  a.可动的；易变的；富流动性的 n.活动装置 
mixture  n.混合；混合比；混合物 
mix  v.混合，调配；交往，相处 n.混合物；迷糊 
misunderstanding  n.误解，误会；意见分歧，不和 
mistaken  adj.搞错了的，误解的 
mistake  n.错误，过失 v.误解,弄错；(for)把...错认 
Miss  n.小姐 vt.未击中；未看到；未赶上；惦念 
miss  n.小姐 vt.未击中；未看到；未赶上；惦念 
mirror  n .镜子 
minute  n.分，分钟；一会儿，片刻；(pl.)会议记录 
minus  a.负的，减去的 prep.减(去) n.减号，负号 
minority  n.少数，少数派，少数民族 
minister  n.部长，大臣；公使，外交使节；牧师 
minibus  *n.小型公共汽车 
mineral  n.矿物，矿石 a.矿物的，矿质的 
mine  pron.我的 n.矿，矿山，矿井 v.采掘，开矿 
mind  n.脑子；意见；情绪 v.注意；介意；专心于 
millionaire  n.&v.定金；存款；沉淀 
million  num.百万 n.(pl.)许多；无数；数百万 
millimetre  n.毫米，千分之一米 
milk  n.牛奶；(植物流出的)白色乳液 v.挤奶 
mile  n.英里，哩，海里 
might  aux.v.[may的过去式]；可能n.力量；权势 
midnight  n.晚上十二点钟，午夜 
middle  n.中间(部)；中间物 a.中间的；中等(级)的 
midday  n.正午，中午 a.正午的 
mid-autumn  n.中秋 
microcomputer  n.微型计算机，微机 
metre  n.米，公尺；仪表，计量器 
method  n.方法，办法；秩序，条理 
metallic  picna.金属(制)的；有金属特性的，像金属的 
metal  n.金属；金属制品 a.金属制造的 
message  n.消息，音信，口信，便条；启示，要旨 
merry  a.欢乐的，愉快的，兴高采烈的 
merely  adv.仅仅，只不过 
mercy  n.慈悲，仁慈，宽容；恩惠，幸运 
merciful  adj.仁慈的，宽大的 
merchant  n.&v.&a.商人；经商；商人的 
menu  n.（餐厅等的）菜单 
mention  vt.提到，谈到 n.提述；提及 
mentally  ad.精神上，理智上，在心中 
mental  a.智力的，脑力的；精神的，思想的，内心的 
mend  vt.修理，修补，缝补；纠正 n.修补，补钉 
memory  n.记忆，记忆力；回忆，怀念；存储(器) 
member  n.成员，会员，社员 
meeting  n.会议；集合，汇合；会见，接见；汇合点 
meet  v.相遇；集合；和...会见；接；满足 n.集会 
medicine  n.内服药，医药；医术；医学，内科学 
medical  a.医学的，医疗的，医药的；内科的 
media  n．(复)宣传工具，新闻媒介 
medal  n.奖牌，奖章，纪念章 
meat  n.(猪、牛、羊等的)肉 
measure  n.分量，尺寸；[pl.]措施，办法 v.测量，量 
meanwhile  n.其时，其间 ad.当时，与此同时 
means  n.方式，方法，手段，工具(常用作单数) 
meaning  n.意义，意思，含义；目的，重要性 
mean  a.小气自私的；坏脾气的；难相处的；恶毒的 
meal  n.膳食，一餐，一顿(饭)；进餐，进餐时间 
me  德育(=moral education) 
mayor  n．市长；镇长 
maybe  adv.可能；大概；也许 
may  aux.v.可能，也许；可以，被允许；祝，愿 
May  n. 五月 
maximum  n.最大限度，最大量,顶点 a.最高的，最大的 
matter  n.事情；毛病，麻烦；物质 vi.要紧，有关系 
maths  n.(英式拼法)数学 
mathematics  n.(通常作单数用)数学 
material  n.材(原)料；素材，资料 a.物质的，实体的 
match  n.火柴；比赛；对手 v.与...相配；与..匹敌 
mat  n.(花瓶、茶杯的)衬垫 
master  n.主人；能手；大师[M-]硕士 vt.精通；控制 
mass  n.(大)团，块，群；大量；众多；(pl.)群众 
Marxism  n.马克思主义 
marry  v.娶，嫁，和…结婚；为…证婚，主持婚礼 
marriage  n.婚姻，婚姻生活；婚礼；密切结合 
marquis  *n.侯爵 
marketplace  n.集会场所，市场 
market  n.市场，集市，股市；行情，销路vt.销售 
mark  n.斑点；记号 v.弄污；标志；(给试卷)打分 
marcher  n.游行者；行进者 
March  v./n.行军，前进；游行示威；进行曲；进展 
march  v./n.行军，前进；游行示威；进行曲；进展 
map  n.地图，图vt.在地图上标示出，绘制地图 
many  a.许多的，多的 pron.许多人或物，许多 
manner  n.方式，方法；态度，举止；[pl.]礼貌,规矩 
man-made  adj.人造的；人工的 
mankind  n.［用作单或复］人类 
manifesto  *n.宣言；声明 
manager  n.经理，管理人；经纪人 
management  n.管理，经营，处理；管理部门，管理人员 
manage  v.管理，经营，处理；设法对付；控制，操纵 
man  n.(pl.men)人；人类(单数，不加冠词)；男人 
male  a.男(性)的；雄的 n.男性，雄性动、植物 
make  n.(产品)来源，制法 vt.制造，做成，准备 
majority  n.多数，大半；多数党，多数派 
major  a.(较)大的 n.专业；专业学生；少校 v.主修 
mainly  ad.主要地；大部分地 
mainland  n.大陆，本土(相对半岛，小岛而言) 
main  a.主要的，最重要的 n.总管道；干线 
mailman  n.邮递员(现在常改称mail carrier) 
mailbox  n.邮筒；邮箱(美语letter box) 
mail  n.(美)邮件，邮政(英多用post) vt.邮寄 
maid  n.女仆，保姆；少女，年轻女子 
magic  n.魔术；魔(魅)力a.有魔力的，(似)魔术的 
magazine  n.期刊，杂志；(枪上的)弹仓，弹盒 
madame  n.夫人，太太，女士(对妇女的尊称) 
mad  a.发疯的；狂热的，着迷的；恼火的，生气的 
machine  n.机械；(政党的)核心机构 vt.用机械加工 
lung  *n.肺；肺脏 
lunch  n.午餐，(美)便餐 
luggage  n.行李；皮箱，皮包 
lucky  a.having or bringing good luck 
luckily  adv.幸运地；好运地 
luck  n.运气，好运，侥幸 
lower  a.较低的，下级的，下游的 vt.放低，降低 
low  a.低，矮；低级的，下层的，卑贱的；低声的 
lovely  a.可爱的，好看的；令人愉快的，美好的 
love  n.爱，爱情，喜欢 vt.爱，热爱；爱好，喜欢 
loudspeaker  n.扬声器，扩音器 
loudly  ad.(=loud)响亮地，高声地 
loud  a.大声的，响亮的；吵闹的 ad.响亮，大声地 
lot  n.许多，大量；签，抽签；命运；场地 
lost  a.not used, won, or claimed 失去的 
loss  n.丧失，遗失；损失，损耗，亏损；失败 
lose  vt.丢失；迷路；输掉 vi.亏本；失败，输掉 
lorry  n.(英)运货汽车；卡车 
loose  a.(宽)松的；不精确的；自由的，散漫的 
lookout  n.监视；监视人，守望员 
look  vi./n.看，注视 v.好像，显得 n.外表，脸色 
long  a.长的，长时间的，长期的 ad.长久，长期地 
lonely  a.孤独的，寂寞的；荒凉的，人迹稀少的 
London  n.伦敦(位于英格兰东南部的一个港市) 
locust  n.蝗虫；洋槐，刺槐 
lock  v.锁上；卡住n.锁；(头发的)一缕；船闸 
local  a.地方性的，当地的；局部的n.[pl.]当地人 
loaf  n.一条面包；块状食品 vi.游荡，闲逛 
load  n.一包(洗的衣物)；负载,负荷vt.装货(或人) 
living-room  n.起居室，客堂间 
living  a.活(着)的，生活(动)的；现行的n.生计(活) 
lively  a.充满活力的，活泼的；逼真的，栩栩如生的 
live  v.活着；居住 a.燃烧的；未爆炸的；直播的 
little  a.小，幼小；不多的 ad./n.不多，几乎没有 
litre  n.升；公升(容量单位) 
listener  n.(收)听者，听众之一 
listen  vi.倾听(与介词to并用，方可置宾语) 
list  n.目录，名单；清单，货单 vt.列表，列举 
liquid  n.液体a.液体的，液态的；清澈的；流畅的 
lip  n.唇；口缘；唇状构造 
lion  n.狮子；勇猛的人 
link  v.连接，联系 n.环，链环；联系，纽带 
line  n.线，线条，界限；行；航线 v.排队，排列 
limited  adj．受局限的，有限的 
limit  n.限度，限制；［pl.］范围 vt.限制，限定 
likely  a.可能的；有希望的 ad.很可能；大概，多半 
like  v.喜欢 prep.象；比如 a.相象的 n.象…一样 
lightning  n.闪电 a.闪电般的，快速的 
lightly  ad.轻轻地；容易地，轻松地 
lighthearted  adj.轻松愉快的，无优无虑的 
light  n.光；灯 v.点燃；照亮 a.轻(快)；淡；明亮 
lift  vt.提，举；解除；剽窃vi.升起；消散n.电梯 
lifetime  n.一生，终生，寿命 
lifeboat  n.救生（船）艇 
life  n.生命，生存；一生，寿命；生活；生物 
lie  vi.躺，平放；处于；位于 v.说谎 n.谎话 
lid  n.(坛子、壶等)盖子 
library  n.图书馆；藏书室；藏书，丛书，文库 
librarian  n.图书管理员；图书馆馆长 
liberation  n.解放，释放；被释放 
liberate  vt.解放，使获得自由；释出，放出 
level  n.水平，水准，等级 v.弄平，铺平 a.水平的 
letter  n.信，函件；字母[pl.]文学，文化修养 
let  v.让，允许，听任；设，假设；出租，租给 
lesson  n.(功)课；一堂(节)课[pl.]课程；教训 
less  a.／ad.更小的(地)；更少的(地)；较次的 
length  n.长，长度；一段，一节，程度，范围 
lend  vt.把…借给，贷；提供，给予 
leg  n.腿，腿部；支柱；(旅程的)一段，一站 
leftover  本指“剩余物” ；可当“嬉皮”讲 
left-handed  a.左手的；用左手的 
left  n.左面，左方 a.左边的，左面的；在左方的 
lecture  n.演讲；告诫 v.(向…发表)演讲，讲课 
leave  v.离开，动身；留下，剩下，忘带；让，听任 
least  a.最小(少)的 ad.最少(小；不) n.最小(少) 
learner  *n.学习者；初学者 
learned  a.有学问的，博学的 a.经训练学到的 
learn  v.学习，学，学会；(of，about)听到，获悉 
lean  v.倾斜；依靠；靠在...上 a.瘦的，无脂肪的 
leak  v.(使)漏；泄露n.漏洞，裂缝；泄漏，漏出量 
league  n.联盟，同盟；(运动联赛的)联合会 
leaf  n.(pl.)leaves叶(子)；张，页；薄金属片 
leading  a.领导的，指导的；第一位的，最重要的 
leader  n.领袖，领导人；畅销商品；先导指数(标) 
lead  v.带路；领导；致使；通向n.领导；主角；铅 
lazy  a.懒惰的，懒散的；慢吞吞的 
laziness  n.懒惰 
lazily  ad.懒惰地，慢吞吞地 
lay  v.放，搁；下(蛋)；铺设，敷设；设置，布置 
lawyer  n.律师，法学家 
law  n.法(律，规，学)；律师业；规律，定律 
laughter  n.笑声(不可数) 
laugh  v.笑；(at)讥笑 n.笑声，笑；开玩笑的事物 
later  ad.后来a.后面的；新近的；晚年的 
lately  ad.not long ago; recently 最近，不久前 
late  a.迟的，晚的，晚期的；已故的 ad.迟，晚 
last  a.最后的，刚过去的 ad.最后 n.最后 v.持续 
large  a.广大的，大的；规模大的，众多的 
lap  n.(坐立时)大腿的前部，膝部；(跑道的)一圈 
language  n.言辞(不可数)；语言(可数) 
landowner  *n.地主；土地所有者 
land  n.陆地；土地；国家v.(使)靠岸(登陆，降落) 
lamp  n.灯，灯泡；电子管 
lame  a.跛的，瘸的；站不住脚的，差劲的，蹩脚的 
lamb  n.小羊；温顺的人，性情温存的人 
lake  n.湖泊，湖水 
lady  n.女士，夫人，小姐；举止文雅的女子，淑女 
ladder  n.梯子；阶梯，途径 
lack  n.not have;have less than enough of 
labourer  n.体力劳动者，劳工，苦力 
laboratory  n.实验室，研究室 (=lab) 
labor  n.工作，劳动；劳力 v.劳动，苦干(=labour) 
lab  (=laboratory) n.实验室 
knowledge  n.知识；学识；学问；知晓；了解 
know-all  n.自称无所不知的人 
know  vt.知道，了解；认识；识别 vi.知道，了解 
knock  n.敲，敲打；碰撞 v.敲，打；碰，撞击 
knife  n.刀，小刀，餐刀 v.用刀切，用匕首刺 
kneel  (knelt，knelt)v．跪下 
knee  n.膝盖；(坐姿时)腿部 
kite  n.风筝；空头支票 
kitchen  n.厨房；全套炊具 
kiss  vt.吻 vi.接吻 n.吻 
kingdom  n.王国；领域，管辖范围 
king  n.君主，国王；(特定领域的)巨子，大王 
kindness  n.亲切，仁慈，好意；仁慈(好心)的行为 
kindergarten  n.幼儿园 
kind  a.仁慈的，友好的，亲切的，和蔼的 n.种类 
kilometre  n.=kilometer 公里，千米(略作km) 
kilogram  n.千克，公斤 [=kilogramme] (略作kg.) 
kilo  n.千克，公斤 (=kilogram/kilogramme) 
kill  vt.杀死，消灭；破坏，毁灭；消磨(时间) 
kick  n.&v.踢；踢腿，蹬；反冲 
Kg  n.=kilogram(me)公斤；千克 
keyboard  n.键盘 vt.用键盘输入(信息) 
key  n.钥匙；答案；关键；键 a.主要的，关键的 
kerosene  n.煤油，火油 [=kerosine] 
Kentucky  n.肯塔基快餐店；肯塔基(美国州名) 
keeper  n.管理人，看守人，看护人，饲养员 
keep  v.使保持，使继续；(from)阻止，防止；保有 
kangaroo  n.袋鼠(产于澳洲的草食哺乳动物) 
justice  n.正义，公平；司法，法律制裁 
just  ad.正好地；刚才；只不过 a.公正的，公平的 
junior  a.年少的，等级低的 n.年少者，晚辈；下级 
jungle  n.丛林；激烈的竞争场合 a.丛林的，蛮荒的 
june  (名)六月 
jumper  n.跳跃者，跳高运动员 
jump  v.跳跃，跳动 n.跳跃，跳动；暴涨，猛增 
July  (名)七月 
juice  n.（水果、蔬菜、肉等的）汁；果汁 
judgement  n.审判，判决；判断力，识别力；意见，判断 
judge  n.法官；裁判；鉴赏家 v.判断；裁决；审判 
joyful  a.快乐的，高兴的，使人喜悦的 
joy  n.欢乐，喜悦；乐趣，乐事 
journey  n.(尤指从一地到另一地的陆上)旅行 
journalist  n.(报纸，期刊，杂志)记者 
jokingly  adv.开玩笑地；闹着玩地 
joke  n.笑话，玩笑 vi.说笑话，开玩笑 
join  v.参加，加入；联合，连接；和…在一起 
job  n.工作，职位；零活，一件工作；任务，职责 
jewellery  n.[总称]珠宝；珠宝饰物 (=jewelery) 
jewel  n．(镶有宝石的)装饰品 
Jew  n.犹太人 
jet  n.喷气(发动机，飞机)；喷射；喷口 vi.喷射 
jeep  n.吉普车，(军士)小型越野汽车 
jazz  n.爵士乐(一种美国音乐) 
jar  vt.have a barsh, unpleasant effect on 
Japanese  n.日本人；日语；日文 a.日本的；日本语的 
Japan  n.日本，日本国 
January  n.一月；正月 
jam  v.堵塞，使卡住，挤满 n.拥挤，堵塞；果酱 
jacket  n.短大衣，夹克；马铃薯皮 
itself  pron.(it的反身代词)它自己，它本身 
its  pron.[it的所有格]它的 
Italy  n.意大利(欧洲) 
Italian  a.意大利(人)的；意大利语的 n.意大利人/语 
it  pron.它；[作无人称动词的主语] 
islander  *n.岛民 
island  n.岛，岛屿；(道路上的)交通安全岛 
irrigation  n.灌溉；冲洗法 
irrigate  vt.灌溉，修水利 vi.进行灌溉 
iron  n.铁；熨斗；手铐 v.烫(衣) a.刚强的 
Irish  a.爱尔兰的；爱尔兰人的 n.爱尔兰人 
ireland  n.爱尔兰岛；爱尔兰(共和国) 
invite  vt.邀请，招待，请求；招致(非难，危险等) 
invitation  n.邀请；邀请书，请柬；鼓励，激起，引发 
inversion  n.反向，倒转，倒置 
invention  n.发明(物)；捏造；发明(创造)的才能 
invent  vt.创造，发明；虚构，捏造 
introduction  n.(to)介绍；传入，引进；导言，导论，绪论 
introduce  vt.介绍；引进，传入；提出(议案等)供讨论 
into  prep.到...里面，进入；成为(表示变化) 
interview  n..接见，会见；面谈，面试 v.接见，会见 
interruption  n.打断，插话；中止，中断 
interrupt  v.打断，打扰；中止 n.间隔；幕间休息 
internet  n.[the～]国际互联网，因特网 
international  a.of or between two or more nations 
interesting  a.有趣味的；对...感兴趣的 
interested  a.有兴趣的；感兴趣的 
interest  n.兴趣；利息；影响；[pl.]利益 v.引起注意 
intend  vt.打算，计划；打算使(成为)，想让…做 
instrument  n.工具，仪器，器械；乐器 
instruction  n.教学，教导；(pl.)命令，批示，用法说明 
instruct  vt.指示，命令，通知；教育，指导 
institution  n.(教育、慈善、宗教性质的)社会公共机构 
institute  n.学会，学院，研究所 vt.建立，创立，制定 
instead  ad.代替，顶替；反而，却 
instant  a.立刻，立即；紧急；速溶的 n.瞬间，时刻 
inspiring  adj.鼓舞人心的 
inspire  v.使产生灵感，启示；鼓励，激励 
inspect  vt.检查，调查，视察 
insist  v.(on)坚持，坚决主张，强烈要求，坚决认为 
inside  a.里面的 ad.在内部 prep.在…里面 n.内部 
insert  vt.插入 n.插入物，插页 
insect  n.昆虫，虫；可鄙的人 
inland  a.内地(陆)的；国内的 ad.在内地；向内地 
ink  n.墨水，油墨 
injury  n.(对生物的)伤害，损害 
injured  adj.受伤的 
injure  vt.伤害(感情等)，损坏 
information  n.通知，报告；情报，资料，消息；信息 
inform  vt.通知，告诉，向…报告 vi.检举，告发 
infinitive  n.(动词)不定式 
infer  vt.推论，推断；猜想 
industry  n.工业，产业；勤劳，勤奋；工业界 
industrial  adj.工业(上)的，产业(上)的，工业用的 
indirect  a.间接的，转弯抹角的，非直接的 
Indian  a.印度(人)的；印第安人的n.印第安(印度)人 
India  n.印度[亚洲] 
independent  a.独立的；自主的 n.独立派人士，无党派者 
independence  n.独立，自主，自立 
indeed  ad.的确；真心地；(表示同意)确实，可不是 
Increase  v.增加，增长，增强n.增加，增长，增强 
income  n.所得报酬，收益，收入 
include  vt.包括；把…计算在内，列为…的一部分 
incident  n.暴力事件；事变；(小说，戏剧等中的)事件 
inch  n.英寸；少量，短距离v.(使)缓慢地移动 
in  prep.在…里(内，上)；用…(表示)ad.进，入 
improvement  n.改进，增进；改进之处，改善的地方 
improve  vt.改进, 改善 vi.改善，变得更好 
impression  n.印象，感觉；印记，压痕 
impress  v.(on)盖印；留下印象，引人注目 n.印记 
impossible  a.不可能的；难以忍受的，很难对付的 
important  a.重要的，重大的；有地位的，有权力的 
importance  n.重要性，重大，价值 
imperialist  n.帝国主义者 
imperialism  n.帝国主义 
immediately  ad.立即地，即刻地；直接地，紧密地 
immediate  adj.with nothing between;coming at once 
imagine  vt.想像；设想；(错误地或无根据地)以为 
imagination  n.想象(力)；空想，幻觉；想象出来的事物 
illness  n.身体不适，病，疾病 
ill  a.有病的；坏的；恶意的ad.坏地；不利地 
if  conj.2.(用于连接宾语从句)是否；是不是 
idiom  n.习语，成语；(艺术等的)风格，特色 
idea  ]n.想法，念头；概念，观念；意见，主意 
ice-cream  n.冰淇淋 
iceberg  n.冰山，浮冰 
ice  n.冰；冰冻甜食 vt.冰冻，使成冰 
I  pron.(主格)我 
husband  n．丈夫 
hurt  v.弄伤(痛)；伤感情；危(损)害n.伤害，痛苦 
hurry  vi.匆忙vt.催促；急运(派)n.急(匆)忙 
hurriedly  ad.仓促地，忙乱地 
hurried  a.仓促的，慌忙的 
hurricane  *n.飓风 ；十二级风 
hunt  n.／v.打猎；搜寻；驱逐，追逐，追捕 
hungry  a.饥饿的，感到饿的；(for)渴望得到的 
hunger  n.饥饿；渴望 vi.(for,after)渴望，渴求" 
hundred  num.百，一百；[pl.]许多 a.一百的；许多 
humour  n.幽默，诙谐 (=humor) 
humorous  a.富于幽默感的，幽默的；滑稽的 
human  a.人的，人类的；有人性的，通人情的 n.人 
huge  a.极大的，巨大的，庞大的 
howl  n.怒吼，嗥叫 vi.(风等)怒吼，咆哮 
however  ad.然而，可是，不过，无论如何 conj.无论 
how  ad.1.(表示方法、手段、状态)怎样；如何 
housing  n.住房，住房供给；(外、阀)壳，防护罩 
housework  n.家务，家事(不可数) 
housewife  n.(pl.)housewives家庭主妇 
house  n.房屋；商业机构；[H-]议院 v.给...房子住 
hour  n.小时，钟点；时刻；课时，工作时间 
hotel  n.旅馆, 饭店，酒店 
hotdog  n.热狗(面包) 
hot  a.(炎)热的；辣的；急躁的；激动的；热衷的 
host  n.主人，东道主；节目主持人；大堆，许多 
hospital  n.医院，大型医院 
horseback  n.马背 
horse  n.马；跳马，鞍马 v.骑马 
horrible  a.令人恐惧的，可怕的；极讨厌的，糟透的 
hopeless  a.绝望的，没有希望的；无能的，糟透的 
hopefully  ad.in a hopeful manner 怀着希望；但愿 
hope  n.希望，期望；希望的人或事 v.希望，期望 
hook  n.钩；(拳击中的)空勾拳 vt.钩，钩住 
honor  v．履行，使……付诸实现；给予(某人)荣誉 
honeycomb  n.蜜蜂窝；蜂窝状物 
honey  n.蜂蜜；甜蜜；[常作爱称]宝贝儿，亲爱的 
honesty  n.诚实，正直；坦率，真诚 
honestly  ad.诚实地；正直地；的确，实在 
honest  a.诚实的，可靠的；坦率的，正直的 
homework  n.(学生的)家庭作业、课外人员 
hometown  n.家乡，诞生的故乡 
homesick  a.想家的，患思乡病的 
homeland  n.家园；祖国 
home  ad.回家,在家 n.家；家乡a.家庭的；家乡的 
holiday  n.假日，节日，假期，休假 
hole  n.洞，孔眼，洞穴；窘境；漏洞，缺陷 
hold  v.(held,held)1.拿；抱；握住 2.举行；进行 
hobby  n.(业余)爱好，嗜好(不包括阅读等) 
hive  n.蜂箱，蜂房；拥挤喧闹的地方 
hit  v.打,击;碰撞 n.击中;成功而风行一时的事物 
history  n.历史，史学，历史书；履历；病历，病史 
historical  a.历史上著名的，有历史意义的；历史的 
historic  a.历史上著名的，具有重大历史意义的 
his  pron.[he的所有格/物主代词]他的(所有物) 
hire  n.雇用，租用；租金，工资 vt.雇用；租用 
himself  pron.[反身代词]他自己；他本人 
him  pron.他(he的宾格形式) 
hilly  a.多小山的；丘陵起伏的 
hillside  *n.(小山)山腰；山坡 
hill  n.小山，山岗，高地；[pl.]丘陵(地带) 
high-rise  *a.多层的；高层的 
high  a.高的，高度的，高级的，高尚的 ad.高高地 
hide  vt.把…藏起来，躲藏；遮掩，隐瞒 n.兽皮 
hibernation  n.冬眠 
hibernate  vi.(动物)冬眠 
hi  interj.嗨!喂!(唤起注意，表示惊讶或询问) 
herself  pron.[反身代词]你自己；你亲自 
hers  pron.[she的物主代词]她的(所有物) 
hero  n.英雄，勇士；男主角，男主人公 
here  ad.在(到，向)这里；这时；在这一点上 
her  pron.[she的宾格]她；[she的所有格]她的 
hen  n.母鸡，雌禽 
helpful  a.给予帮助的，肯帮助的；有益的，建设性的 
help  v.帮(援)助；有助于；[呼救]救命n.帮助(手) 
hello  int.英(美)喂,你好(用来打招呼或引起注意) 
helicopter  n.直升(飞)机 
height  n.高，高度，身高；[pl.]高处，高地；顶点 
heavy  a.重的，重型的；沉重的，大量的，猛烈的 
heaven  n.天堂，天国；天，天空；[H-]上帝，神 
heat  n.热量；体温；热烈 vt.(使)变热，加热 
heart  n.心(脏)；内心，感情；热忱；中心，要点 
hearing  n.听力，听力所及距离，被听到机会；审讯 
hear  v.听见；审讯；(from)收到..的信/电话;听说 
healthy  a.健康的，健壮的；有益健康的，合乎卫生的 
health  n.健康(状况)；卫生，保健 
headteacher  n.中小学班主任 
headmaster  n.(英国的)中小学校长 
headline  n.（报刊的）大字标题；[pl.]新闻提要 
headache  n.a pain in the head 头痛; 使人头痛的事 
head  n.头；顶部；领导,首脑 v.主管；位于..顶部 
he  pron.他；(不论性别的)一个人 
hay  n.(用作饲料的)干草 
hawk  n.鹰，隼；“鹰派”人物vt.叫卖，兜售 
have  v.有，具有；体会，经受；从事；使；吃，喝 
hate  v.憎恨，憎恶；不愿，不喜欢，对..感到抱歉 
hatch  v.图谋，计划，策划；孵 n.(船的)舱口(盖) 
hat  n.帽子(一般指有边的帽子) 
harvest  v.收割，收获　n.收获，收成；成果，后果 
harmless  adj.无害的，无恶意的 
harmful  a.有害的，能造成损害的 
harm  n.伤害，损害 vt.损害；伤害 
hardworking  adj.努力工作的 
hardly  ad.几乎不，简直不；刚刚，仅仅 
hard  a.坚硬的；结实的；困难的；难忍的；严厉的 
happy  a.快乐的，幸福的；乐意的；令人满意的 
happiness  n.幸福感；快乐；幸运 
happily  adj.幸福地，愉快地 
happen  v.(偶然)发生；(+to V)碰巧，恰好 
hang  vt.悬挂，吊；绞死，吊死 vi.悬挂，吊着 
handwriting  n.writing done with the hand 
handtruck  *n.手推运货车 
handstand  *n.倒立 
handsome  a.(男)漂亮的，英俊的；(女)好看的；相当的 
handshake  *n.握手 
handle  n.把手，手柄，拉手 vt.触，摸；操纵；处理 
handkerchief  n. (pl.)handkerchieves手帕 
handful  n.一把；一小撮，少数，少量 
handbag  n.(女用)手提包；(旅行用)手提包 
hand  n.手，人手，雇员；专门业人员；指针 v.交 
hammer  n.锤子；(钢琴等的)音锤 v.敲，锤打 
hamburger  n.汉堡包(即面包夹煎牛肉饼) 
ham  n.火腿；无线电收发报业余爱好者 
hall  n.穿堂，门厅，大厅；礼堂，会堂；办公大楼 
half  n.半，一半 a.一半的，不完全的 ad.一半地 
haircut  n.理发；发型，发式 
hair  n.毛发，头发；绒毛，毛状物 
habit  n.习惯，习性，脾性 
gymnastics  n.[用作单数]体育，体操 
gymnast  n.体育家；体操家 
gym  (=gymnasium) n.体操馆；健身房 
gust  n.阵风；突然一阵(雨、烟等)；(感情的)迸发 
gun  n.枪，炮，手枪 
guitar  n.吉他 vi.弹吉他 
guidebook  导游书，导游小册子 
guide  n.导游，向导；指南,手册v.给..导游；指导 
guess  v./n.猜测，推测；以为；猜想[同]surmise 
guard  v./n.保卫，守卫，提防 n.哨兵，警卫，看守 
guard  v./n.保卫，守卫，提防 n.哨兵，警卫，看守 
grow  v.生长，成长；渐渐变成；栽培，种植；发展 
group  n.组，群，集团；类，型 vt.集合；把…分类 
ground  n.地，地面，土地；场地，场所；理由，根据 
greeting  n.问候，致敬；祝贺，祝词 
greet  v.问候，招呼，迎接；作出反应；向…传来 
green  a.绿色的；生的，未成熟的；生疏的 n.绿色 
Greek  a.希腊(人)的，希腊语的 n.希腊人；希腊语 
greedy  a.贪婪的；贪吃的；(for，after，of)渴望的 
Greece  n.希腊(国名) 
greatly  ad.大大地，非常地；伟大地，崇高地 
great  a.伟大的；重要的；大量的；很好的；美好的 
gray  a.灰色的，灰白的；阴沉的，阴霾的n.灰色 
grassland  n.牧场；草地；草原 
grass  n.草，牧草；禾本科植物，禾草 
grasp  n.抓牢；掌握 v.抓，抓住；理解 
grape  n.葡萄；葡萄藤 
granny  n.祖母，奶奶，外祖母，外婆 
grandson  n.孙子，外孙子 
grandmother  n.祖母，奶奶，外婆 
grandfather  n.(外)祖父；祖先 
granddaughter  n.孙女，外孙女 
grand  a.宏伟的，壮丽的；主要的，重大的；豪华的 
grammar  n.语法(规则)，语法现象 
gram  *n.克(重量单位) 
grain  n.谷物；谷粒，颗粒，细粒；少量，微量 
graduation  n.毕业(典礼)；刻度 
graduate  a.研究生的 n.有学位者；大学毕业生vi.毕业 
gradually  ad.渐渐地；逐步地 
grade  n.等级，级别，年级；分数 vt.分级；记成绩 
government  n.政府，内阁；管理，支配；政治，政体 
govern  vt.[常被动]决定；统治；治理；支配；影响 
goose  n.(pl.geese)天鹅 
goods  n.(常用复数)货物，商品 
goodness  n.善良，仁慈；(食物等)精华 int.天哪 
goodbye  int.再见 (=goodby) 
good  a.(美)好；善良的；擅长的；乖 n.善；利益 
goldfish  *n.金鱼 
golden  a.金的，金制的；含金的；金色的，贵重的 
gold  n.金，黄金；金币；金黄色 a.金的，金制的 
goddess  n.女神；绝世美女 
god  n.上帝(小写god泛指所有的“神，神像”) 
goat  n．山羊 
goal  n.(足球等的)球门；得分进球；目的；目标 
go  v.去，离开；走；放置；变成；运转 n.围棋 
glove  n.(五指分开)手套 
globe  n.地球，世界；地球仪；球体 
glasshouse  *n.温室；暖房 
glasses  n.眼镜(恒用复数) 
glass  n.玻璃，玻璃杯；(pl.)眼镜；玻璃制品 
glare  vi.怒目而视；发射强光n.强光；怒视；炫耀 
glance  v.(at，over)扫视 n.匆匆看，一瞥，一眼 
glad  a.高兴的，快活的；乐意的，情愿的 
give  v.给，授予；供给；献出，让步；捐赠；发表 
girl  n.少女，姑娘，女孩；女职员 
gifted  *a.有天赋的；有才华的 
